Ester library;Compound chemical class;Log P (+/- SD);;Smiles code;Preparation or commercial source or preparation;Brand;Ester concentration [mg/ml];Mw [g/mol];concentration [mM];Reaction buffer;Reaction pH;Volume reaction [ml];Additives (solvents);Additives (pH indicator);Reaction T (¼C);Enzyme amount [mg];Reaction time (h);Shaking [rpm];Assay method;Substrate;EH1(72);EH2(71);EH3(69);CalB(68);EH4(67);EH5(67);EH6(66);EH7(64);EH8(63);EH9(61);EH10(58);EH11(53);EH12(51);EH13(49);EH14(48);EH15(42);EH16(42);EH17(39);EH18(38);EH19(37);EH20(37);EH21(36);CalA(36);EH22(35);EH23(34);EH24(34);EH25(33);EH26(32);EH27(32);EH28(31);EH29(31);EH30(30);EH31(29);EH32(29);EH33(29);EH34(29);EH35(29);EH36(28);EH37(28);EH38(28);EH39(28);EH40(27);EH41(27);EH42(27);EH43(27);EH44(25);EH45(24);EH46(23);EH47(23);EH48(23);EH49(23);EH50(22);EH51(22);EH52(21);EH53(21);EH54(21);EH55(21);EH56(21);EH57(21);EH58(21);EH59(21);EH60(21);EH61(20);EH62(20);EH63(20);EH64(20);EH65(20);EH66(19);EH67(18);EH68(18);EH69(18);EH70(18);EH71(18);EH72(18);EH73(17);EH74(17);EH75(16);EH76(16);EH77(16);EH78(15);EH79(14);EH80(14);EH81(14);EH82(14);EH83(14);EH84(13);EH85(13);EH86(13);EH87(13);EH88(13);EH89(13);EH90(13);EH91(13);EH92(12);EH93(12);EH94(12);EH95(11);EH96(11);EH97(11);EH98(11);EH99(11);EH100(11);EH101(11);EH102(10);EH103(10);EH104(10);EH105(10);EH106(9);EH107(9);EH108(9);EH109(9);EH110(8);EH111(8);EH112(8);EH113(8);EH114(8);EH115(8);EH116(7);EH117(6);EH118(6);EH119(6);EH120(5);EH121(5);EH122(5);EH123(4);EH124(4);EH125(4);EH126(4);EH127(4);EH128(4);EH129(3);EH130(2);EH131(2);EH132(2);EH133(2);EH134(2);EH135(2);EH136(2);EH137(2);EH138(2);EH139(2);EH140(1);EH141(1);EH142(1);EH143(1);EH144(1);EH145(1)
1-Napthyl acetate;Aromatic ester (two rings);2.79;0.20;CC(=O)OC1=CC=CC2=CC=CC=C21;http://www.sigmaaldrich.com/catalog/product/sigma/n8130?lang=es&region=ES;Sigma-Aldrich;1.14;181.15;6.27;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);1-Napthyl acetate;865.94;83.97;92.20;10249.91;1.68;8855.73;243.64;15.89;157.91;82.74;0.12;21.32;16.28;162.43;119.48;0.10;23.98;283.01;47.05;0.00;35.12;75519.92;1321.86;169.77;917.22;43.62;300.05;37.40;77.84;47.39;260.22;11.07;125.91;30.57;376.69;0.00;18.21;311.41;129.86;119.88;14.62;12.98;199.93;116.11;343.16;45.60;37.26;20.79;196.19;76.33;0.87;159.72;5.51;76.06;5.83;5.52;17.48;17.17;277.02;0.00;0.15;51.27;9.75;17.37;187.86;7.69;5.73;20.25;25.09;42.01;99.48;16.18;27.25;189.15;470.45;19.71;73.23;1.83;19.50;195.57;9.05;88.92;17.12;8978.87;46.64;123.92;21.60;13.98;2.50;4403.68;5.67;10.55;243.86;7.28;38.14;15.97;47.84;2.14;191.44;3.76;86.37;64.39;3.50;3328.23;68.13;4.49;15.15;11.56;16.33;54.48;17.65;25.35;11.58;0.00;11.00;13.15;51.04;10.60;0.00;17.97;25.83;0.66;13.25;2.77;8.15;21.63;2.27;1.13;4.56;3.84;3.17;5.12;4.16;4.86;1.27;1.20;0.00;3.29;3.32;0.00;4.16;1.73;2.55;0.25;1.31;1.80;2.48
1-Naphthyl butyrate;Aromatic ester (two rings);3.85;0.20;CCCC(=O)OC1=CC=CC2=CC=CC=C21;http://www.sigmaaldrich.com/catalog/product/sigma/n9876?lang=es&region=ES;Sigma-Aldrich;1.14;209.20;5.43;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);1-Naphthyl butyrate;614.23;58.57;91.99;2361.28;0.42;5223.53;13.12;5.61;9.03;93.15;0.19;1.30;14.79;24.36;123.58;0.00;13.38;66.26;15.14;0.00;0.00;13480.86;729.37;69.89;46.73;11.00;181.82;14.03;43.15;29.53;0.00;7.38;5.69;12.30;81.68;0.00;5.02;8.49;0.96;71.30;11.23;3.29;481.38;18.67;69.15;7.55;4.46;15.00;27.75;0.32;1.69;0.00;9.18;36.00;4.29;5.80;6.17;17.81;14.21;0.00;0.00;14.39;4.97;18.01;40.76;4.65;2.09;13.49;8.70;6.60;73.50;0.15;6.12;120.57;0.04;11.53;90.22;131.29;5.12;158.77;9.88;21.40;10.34;747.59;20.07;48.40;8.14;6.37;2.29;536.33;5.66;7.01;118.34;8.10;2.30;13.00;98.26;1.88;11.25;3.94;18.23;12.13;0.24;489.28;27.55;1.82;16.37;6.44;4.79;32.50;5.48;19.12;0.61;0.00;3.32;5.30;8.53;4.41;2.68;0.00;2.09;0.87;14.34;2.33;0.00;14.37;0.00;1.42;3.65;11.63;0.00;0.00;3.22;1.56;0.00;1.73;0.00;0.00;2.20;2.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Glyceryl triacetate;Triglyceride;-0.24;0.26;CC(=O)OCC(COC(=O)C)OC(=O)C ;http://www.sigmaaldrich.com/catalog/product/sigma/t5376?lang=es&region=ES;Sigma-Aldrich;1.14;218.20;5.21;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Glyceryl triacetate;11787.98;96.75;91.09;11181.45;1.93;7171.64;325.26;23.08;2.48;117.96;0.03;25.61;13.25;177.07;134.63;4.19;991.93;110.29;49.66;0.00;16.70;157276.67;209.64;218.46;3276.37;20.41;100.74;0.00;67.16;10.34;1086.00;5.29;2.67;25.42;16.46;42.47;32.65;7.43;150.23;1.87;3.27;7.19;236.36;19.76;278.62;24.72;2.13;11.66;39.73;0.86;1.06;0.00;5.12;50.44;9.72;1095.56;0.92;14.78;27.03;2.90;2.23;8.81;4.33;6.38;10.12;0.03;0.00;6.81;4.23;48.31;113.76;18.93;2.30;3.07;677.95;8.13;10.58;10.87;18.13;3.07;0.00;10.49;0.00;788.32;18.03;7.32;9.76;3.23;0.85;227.37;0.00;2.34;115.10;0.00;56.67;4.23;1.33;0.45;9.63;0.00;6.22;50.99;0.23;594.38;34.62;0.00;45.59;0.60;0.19;0.25;0.64;30.37;0.53;227.47;0.00;0.00;2.51;0.68;0.00;0.00;0.00;1.40;83.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Glyceryl tripropionate;Triglyceride;1.36;0.26; CCC(=O)OCC(COC(=O)CC)OC(=O)CC ;http://www.sigmaaldrich.com/catalog/product/aldrich/w328618?lang=es&region=ES;Sigma-Aldrich;1.14;260.28;4.37;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Glyceryl tripropionate;13023.71;97.88;98.37;19898.44;262.23;23520.14;338.55;80.46;163.14;108.12;1.34;120.02;20.61;259.37;127.79;16.30;749.78;295.75;295.16;8.24;26.57;963455.17;1285.96;665.47;4413.24;123.42;309.94;3.84;88.09;17.25;2938.44;23.08;152.44;242.56;256.94;50.08;8.22;264.81;294.49;7.79;6.91;79.23;423.70;89.76;12.83;95.50;22.85;15.77;118.91;2.58;9.92;8.55;20.03;119.11;80.40;1622.98;2.10;18.67;357.18;3.10;17.96;12.16;2.22;11.77;38.22;2.38;13.97;14.58;23.15;18.17;98.67;22.16;39.95;2.67;110.09;23.18;17.65;29.44;22.06;2.67;9.19;120.56;9.85;155.52;155.38;140.60;17.26;16.00;1.91;47.05;10.38;5.38;115.37;10.58;377.75;13.24;3.67;1.06;73.08;10.74;81.49;94.07;17.89;10.69;91.17;5.87;18.24;7.20;1.55;14.81;3.52;332.72;13.97;301.47;1.58;8.39;3.94;12.09;4.02;2.20;2.52;9.15;131.87;1.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.94;0.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Glyceryl tributyrate;Triglyceride;2.95;0.26;CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC;http://www.sigmaaldrich.com/catalog/product/aldrich/w222305?lang=es&region=ES;Sigma-Aldrich;1.14;302.36;3.76;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Glyceryl tributyrate;2649.38;112.89;96.33;10936.77;2.12;10518.41;98.89;33.49;111.44;98.89;0.44;0.38;20.89;70.19;139.92;0.00;98.74;245.59;75.89;1.50;0.36;28699.69;1380.63;159.34;375.39;36.29;200.66;0.00;81.00;26.93;351.97;6.78;44.06;26.98;61.65;42.27;0.50;4.27;220.30;1.23;3.25;8.92;392.86;25.32;14.75;101.46;0.37;11.93;71.14;0.72;1.13;0.00;15.17;23.00;50.93;1492.50;0.08;2.54;52.85;3.49;0.00;0.00;1.29;0.00;41.48;0.00;5.21;8.50;0.11;4.09;110.29;0.06;42.30;1.96;0.30;1.85;27.56;20.77;3.38;1.96;0.00;14.81;21.36;0.00;58.98;28.20;8.50;25.46;0.57;103.62;4.40;0.00;102.79;0.67;18.26;0.00;1.54;0.00;19.39;0.96;14.74;28.09;0.84;0.00;67.29;6.00;0.00;0.00;2.64;20.15;0.00;99.79;2.16;283.15;0.00;9.85;0.00;19.84;0.00;0.00;0.00;1.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Glyceryl trioctanoate;Triglyceride;9.33;0.26;CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC ;http://www.sigmaaldrich.com/catalog/product/sigma/t9126?lang=es&region=ES;Sigma-Aldrich;1.14;470.68;2.41;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Glyceryl trioctanoate;0.00;113.26;0.00;198.75;0.20;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.50;0.00;1487.75;777.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.25;0.00;0.03;0.76;0.00;0.00;0.00;0.00;141.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.88;0.00;0.00;0.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.49;0.00;0.00;0.00;15.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Triolein;Triglyceride;23.71;0.28;CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC;http://www.sigmaaldrich.com/catalog/product/sigma/t7140?lang=es&region=ES;Sigma-Aldrich;1.14;885.43;1.28;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% DMSO;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Triolein;0.00;0.00;0.00;6759.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Hexyl acetate;Alkyl ester;2.83;0.21;CCCCCCOC(=O)C;http://www.sigmaaldrich.com/catalog/product/aldrich/108154?lang=es&region=ES;Sigma-Aldrich;1.14;144.21;7.88;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Hexyl acetate;5489.63;113.26;44.37;7885.68;0.21;1110.05;314.55;6.49;6.48;46.97;0.76;0.99;36.77;96.67;133.41;0.00;407.70;19.72;36.57;0.00;0.00;1838.51;0.00;0.00;411.00;0.00;221.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.18;0.00;0.00;0.00;9.69;0.00;0.00;0.00;0.00;1.12;0.00;0.00;0.00;54.37;0.00;1744.82;20.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.17;0.00;0.00;0.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Octyl acetate;Alkyl ester;3.90;0.21;CCCCCCCCOC(=O)C;http://www.sigmaaldrich.com/catalog/product/aldrich/o5500?lang=es&region=ES;Sigma-Aldrich;1.14;172.26;6.60;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Octyl acetate;675.49;101.87;95.63;10600.71;0.04;5152.17;48.45;0.00;4.74;96.33;0.04;0.18;126.98;90.43;130.19;0.00;401.41;96.57;81.82;0.00;0.00;5314.87;0.00;0.00;415.25;0.00;39.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.11;0.00;0.00;0.00;0.00;0.00;0.00;2.85;0.00;3.53;0.00;0.00;0.00;42.98;0.00;0.00;0.00;2.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.11;3.50;0.00;0.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Dodecanoyl acetate;Alkyl ester;6.02;0.21;CCCCCCCCCCCCOC(=O)C;http://www.sigmaaldrich.com/catalog/product/aldrich/d221953?lang=es&region=ES;Sigma-Aldrich;1.14;228.37;4.98;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Dodecanoyl acetate;0.00;10.84;14.56;635.18;0.06;59.26;0.00;0.00;0.17;18.01;0.00;0.00;0.00;0.00;6.71;0.00;0.00;0.00;0.00;0.00;0.00;1738.18;0.00;0.00;18.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
