DTXSID;PREFERRED NAME;CASRN;INCHIKEY;IUPAC NAME;SMILES;INCHI STRING;MOLECULAR FORMULA;AVERAGE MASS;MONOISOTOPIC MASS;QC Level;# ToxCast Active;Total Assays;% ToxCast Active;Origin;Similarity to TPP [tanimoto]
DTXSID0021389;Trichlorfon;52-68-6;NFACJZMKEDPNKN-UHFFFAOYSA-N;Dimethyl (2,2,2-trichloro-1-hydroxyethyl)phosphonate;COP(=O)(OC)C(O)C(Cl)(Cl)Cl;"InChI=1/C4H8Cl3O4P/c1-10-12(9,11-2)3(8)4(5,6)7/h3,8H,1-2H3
";C4H8Cl3O4P;257.43;255.922579;1;87/701;701;12;Comptox Biosolids;
DTXSID0021414;Tris(2-ethylhexyl) phosphate;78-42-2;GTVWRXDRKAHEAD-UHFFFAOYSA-N;Tris(2-ethylhexyl) phosphate;CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC;"InChI=1/C24H51O4P/c1-7-13-16-22(10-4)19-26-29(25,27-20-23(11-5)17-14-8-2)28-21-24(12-6)18-15-9-3/h22-24H,7-21H2,1-6H3
";C24H51O4P;434.642;434.352497;1;65/628;628;10;Comptox Biosolids;
DTXSID1021403;Trimethyl orthophosphate;512-56-1;WVLBCYQITXONBZ-UHFFFAOYSA-N;Trimethyl phosphate;COP(=O)(OC)OC;"InChI=1S/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3
";C3H9O4P;140.075;140.023846;1;16/352;352;5;Comptox Biosolids;
DTXSID1024209;Naled;300-76-5;BUYMVQAILCEWRR-UHFFFAOYSA-N;1,2-Dibromo-2,2-dichloroethyl dimethyl phosphate;COP(=O)(OC)OC(Br)C(Cl)(Cl)Br;"InChI=1/C4H7Br2Cl2O4P/c1-10-13(9,11-2)12-3(5)4(6,7)8/h3H,1-2H3
";C4H7Br2Cl2O4P;380.78;377.782577;1;218/697;697;31;Comptox Biosolids;
DTXSID1025300;2-Ethylhexyl diphenyl phosphate;1241-94-7;CGSLYBDCEGBZCG-UHFFFAOYSA-N;2-Ethylhexyl diphenyl phosphate;CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1/C20H27O4P/c1-3-5-12-18(4-2)17-22-25(21,23-19-13-8-6-9-14-19)24-20-15-10-7-11-16-20/h6-11,13-16,18H,3-5,12,17H2,1-2H3
";C20H27O4P;362.406;362.164696;1;138/546;546;25;Comptox Biosolids;
DTXSID1027134;Bis(2-ethylhexyl) phosphate;298-07-7;SEGLCEQVOFDUPX-UHFFFAOYSA-N;Bis(2-ethylhexyl) hydrogen phosphate;CCCCC(CC)COP(O)(=O)OCC(CC)CCCC;"InChI=1/C16H35O4P/c1-5-9-11-15(7-3)13-19-21(17,18)20-14-16(8-4)12-10-6-2/h15-16H,5-14H2,1-4H3,(H,17,18)
";C16H35O4P;322.426;322.227297;1;158/471;471;34;Comptox Biosolids;
DTXSID1044699;Diethyl hydrogen phosphate;598-02-7;UCQFCFPECQILOL-UHFFFAOYSA-N;Diethyl hydrogen phosphate;CCOP(O)(=O)OCC;"InChI=1S/C4H11O4P/c1-3-7-9(5,6)8-4-2/h3-4H2,1-2H3,(H,5,6)
";C4H11O4P;154.102;154.039496;1;0/3;3;0;Comptox Biosolids;
DTXSID2032683;Mevinphos;7786-34-7;GEPDYQSQVLXLEU-UHFFFAOYSA-N;Methyl 3-[(dimethoxyphosphoryl)oxy]but-2-enoate;COC(=O)C=C(C)OP(=O)(OC)OC;"InChI=1S/C7H13O6P/c1-6(5-7(8)10-2)13-14(9,11-3)12-4/h5H,1-4H3
";C7H13O6P;224.149;224.044975;1;22/642;642;3;Comptox Biosolids;
DTXSID30212316;Diisobutyl hydrogen phosphate;6303-30-6;PVQVJLCMPNEFPM-UHFFFAOYSA-N;Bis(2-methylpropyl) hydrogen phosphate;CC(C)COP(O)(=O)OCC(C)C;"InChI=1S/C8H19O4P/c1-7(2)5-11-13(9,10)12-6-8(3)4/h7-8H,5-6H2,1-4H3,(H,9,10)
";C8H19O4P;210.21;210.102096;1; ;;;Comptox Biosolids;
DTXSID3021986;Tributyl phosphate;126-73-8;STCOOQWBFONSKY-UHFFFAOYSA-N;Tributyl phosphate;CCCCOP(=O)(OCCCC)OCCCC;"InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3
";C12H27O4P;266.318;266.164696;1;68/705;705;10;Comptox Biosolids;
DTXSID3024861;Cresyl diphenyl phosphate;26444-49-5;;;C*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:6,8,14,16,22,24,t:4,12,20,lp:2:2,4:2,11:2,18:2,m:1:6.7.8|;;;; ;1;108/433;433;25;Comptox Biosolids;
DTXSID3025465;Isodecyl diphenyl phosphate;29761-21-5;;;C*.CCCCCCCCCOP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:16,18,24,26,t:14,22,lp:11:2,13:2,14:2,21:2,m:1:10.9.8.7.6.5.4.3|;;;; ;1;130/469;469;28;Comptox Biosolids;
DTXSID3040728;Phosphoric acid, dibutyl ester;107-66-4;JYFHYPJRHGVZDY-UHFFFAOYSA-N;Dibutyl hydrogen phosphate;CCCCOP(O)(=O)OCCCC;"InChI=1S/C8H19O4P/c1-3-5-7-11-13(9,10)12-8-6-4-2/h3-8H2,1-2H3,(H,9,10)
";C8H19O4P;210.21;210.102096;1;2/321;321;1;Comptox Biosolids;
DTXSID3065740;Bis(2-butoxyethyl) phosphate;14260-97-0;NNXWIPHZHATIFE-UHFFFAOYSA-N;Bis(2-butoxyethyl) hydrogen phosphate;CCCCOCCOP(O)(=O)OCCOCCCC;"InChI=1S/C12H27O6P/c1-3-5-7-15-9-11-17-19(13,14)18-12-10-16-8-6-4-2/h3-12H2,1-2H3,(H,13,14)
";C12H27O6P;298.316;298.154526;1;0/16;16;0;Comptox Biosolids;
DTXSID30992969;Bis(1,3-dichloro-2-propyl) phosphate;72236-72-7;NNKRUBFJSSBFSS-UHFFFAOYSA-N;Bis(1,3-dichloropropan-2-yl) hydrogen phosphate;OP(=O)(OC(CCl)CCl)OC(CCl)CCl;"InChI=1S/C6H11Cl4O4P/c7-1-5(2-8)13-15(11,12)14-6(3-9)4-10/h5-6H,1-4H2,(H,11,12)
";C6H11Cl4O4P;319.92;317.914907;1; ;;;Comptox Biosolids;
DTXSID4021391;Tris(methylphenyl) phosphate;1330-78-5;;;CC1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C)OC3=CC=C(C=C3)C.CC1=CC(=CC=C1)OP(=O)(OC2=CC=CC(=C2)C)OC3=CC=CC(=C3)C.CC1=CC=CC=C1OP(=O)(OC2=CC=CC=C2C)OC3=CC=CC=C3C;;C21H21O4P;368.369;368.117746;1;94/545;545;17;Comptox Biosolids;
DTXSID4052712;Tripropyl phosphate;513-08-6;RXPQRKFMDQNODS-UHFFFAOYSA-N;Tripropyl phosphate;CCCOP(=O)(OCCC)OCCC;"InChI=1S/C9H21O4P/c1-4-7-11-14(10,12-8-5-2)13-9-6-3/h4-9H2,1-3H3
";C9H21O4P;224.237;224.117746;1; ;;;Comptox Biosolids;
DTXSID50184485;Bis(2-chloroethyl) phosphate;3040-56-0;PMGHIGLOERPWGC-UHFFFAOYSA-M;Bis(2-chloroethyl) hydrogen phosphate;[O-]P(=O)(OCCCl)OCCCl;"InChI=1S/C4H9Cl2O4P/c5-1-3-9-11(7,8)10-4-2-6/h1-4H2,(H,7,8)/p-1
";C4H8Cl2O4P;221.98;220.954275;1; ;;;Comptox Biosolids;
DTXSID5021411;Tris(2-chloroethyl) phosphate;115-96-8;HQUQLFOMPYWACS-UHFFFAOYSA-N;Tris(2-chloroethyl) phosphate;ClCCOP(=O)(OCCCl)OCCCl;"InChI=1S/C6H12Cl3O4P/c7-1-4-11-14(10,12-5-2-8)13-6-3-9/h1-6H2
";C6H12Cl3O4P;285.48;283.953879;1;10/660;660;2;Comptox Biosolids;
DTXSID5026259;Tris(2-chloroisopropyl)phosphate;13674-84-5;KVMPUXDNESXNOH-UHFFFAOYSA-N;Tris(1-chloropropan-2-yl) phosphate;CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl;"InChI=1/C9H18Cl3O4P/c1-7(4-10)14-17(13,15-8(2)5-11)16-9(3)6-12/h7-9H,4-6H2,1-3H3
";C9H18Cl3O4P;327.56;326.000829;1;20/513;513;4;Comptox Biosolids;
DTXSID6024701;tert-Butylphenyl diphenyl phosphate;56803-37-3;;;CC(C)(C)*.O=P(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1 |c:9,11,17,19,25,27,t:7,15,23,lp:5:2,7:2,14:2,21:2,m:4:11.12.13|;;;; ;1;154/500;500;31;Comptox Biosolids;
DTXSID6032192;Tri-o-cresyl phosphate;78-30-8;YSMRWXYRXBRSND-UHFFFAOYSA-N;Tris(2-methylphenyl) phosphate;CC1=C(OP(=O)(OC2=C(C)C=CC=C2)OC2=C(C)C=CC=C2)C=CC=C1;"InChI=1S/C21H21O4P/c1-16-10-4-7-13-19(16)23-26(22,24-20-14-8-5-11-17(20)2)25-21-15-9-6-12-18(21)3/h4-15H,1-3H3
";C21H21O4P;368.369;368.117746;1;194/524;524;37;Comptox Biosolids;
DTXSID70957173;Di-o-cresyl phosphate;35787-74-7;OHRCKPRYDGSBRN-UHFFFAOYSA-N;Bis(2-methylphenyl) hydrogen phosphate;CC1=CC=CC=C1OP(O)(=O)OC1=CC=CC=C1C;"InChI=1S/C14H15O4P/c1-11-7-3-5-9-13(11)17-19(15,16)18-14-10-6-4-8-12(14)2/h3-10H,1-2H3,(H,15,16)
";C14H15O4P;278.244;278.070796;1; ;;;Comptox Biosolids;
DTXSID8026228;Triethyl phosphate;78-40-0;DQWPFSLDHJDLRL-UHFFFAOYSA-N;Triethyl phosphate;CCOP(=O)(OCC)OCC;"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3
";C6H15O4P;182.156;182.070796;1;6/345;345;2;Comptox Biosolids;
DTXSID8028000;Phosgard 2XC20;38051-10-4;ZGHUDSLVQAGWEY-UHFFFAOYSA-N;2,2-Bis(chloromethyl)propane-1,3-diyl tetrakis(2-chloroethyl) bis(phosphate);ClCCOP(=O)(OCCCl)OCC(CCl)(CCl)COP(=O)(OCCCl)OCCCl;"InChI=1S/C13H24Cl6O8P2/c14-1-5-22-28(20,23-6-2-15)26-11-13(9-18,10-19)12-27-29(21,24-7-3-16)25-8-4-17/h1-12H2
";C13H24Cl6O8P2;582.97;579.907758;1; ;;;Comptox Biosolids;
DTXSID8040698;Triisobutyl phosphate;126-71-6;HRKAMJBPFPHCSD-UHFFFAOYSA-N;Tris(2-methylpropyl) phosphate;CC(C)COP(=O)(OCC(C)C)OCC(C)C;"InChI=1S/C12H27O4P/c1-10(2)7-14-17(13,15-8-11(3)4)16-9-12(5)6/h10-12H,7-9H2,1-6H3
";C12H27O4P;266.318;266.164696;1;15/428;428;4;Comptox Biosolids;
DTXSID80883752;Phosphoric acid, dipropyl ester;1804-93-9;QVKQJEWZVQFGIY-UHFFFAOYSA-N;Dipropyl hydrogen phosphate;CCCOP(O)(=O)OCCC;"InChI=1S/C6H15O4P/c1-3-5-9-11(7,8)10-6-4-2/h3-6H2,1-2H3,(H,7,8)
";C6H15O4P;182.156;182.070796;2; ;;;Comptox Biosolids;
DTXSID9026261;Tris(1,3-dichloro-2-propyl) phosphate;13674-87-8;ASLWPAWFJZFCKF-UHFFFAOYSA-N;Tris(1,3-dichloropropan-2-yl) phosphate;ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl;"InChI=1S/C9H15Cl6O4P/c10-1-7(2-11)17-20(16,18-8(3-12)4-13)19-9(5-14)6-15/h7-9H,1-6H2
";C9H15Cl6O4P;430.89;427.883912;1;226/779;779;29;Comptox Biosolids;
DTXSID90274172;Bis(1-Chloropropan-2-yl) hydrogen phosphate;789440-10-4;ORAAZVDXWSKZHK-UHFFFAOYSA-M;Bis(1-chloropropan-2-yl) hydrogen phosphate;CC(CCl)OP([O-])(=O)OC(C)CCl;"InChI=1/C6H13Cl2O4P/c1-5(3-7)11-13(9,10)12-6(2)4-8/h5-6H,3-4H2,1-2H3,(H,9,10)/p-1
";C6H12Cl2O4P;250.03;248.985575;1; ;;;Comptox Biosolids;
DTXSID6032192;Tri-o-cresyl phosphate;78-30-8;YSMRWXYRXBRSND-UHFFFAOYSA-N;Tris(2-methylphenyl) phosphate;CC1=C(OP(=O)(OC2=C(C)C=CC=C2)OC2=C(C)C=CC=C2)C=CC=C1;"InChI=1S/C21H21O4P/c1-16-10-4-7-13-19(16)23-26(22,24-20-14-8-5-11-17(20)2)25-21-15-9-6-12-18(21)3/h4-15H,1-3H3
";C21H21O4P;368.369;368.117746;1;194/524;524;37;Comptox similarity search to TPP;0.780487776
DTXSID1025300;2-Ethylhexyl diphenyl phosphate;1241-94-7;CGSLYBDCEGBZCG-UHFFFAOYSA-N;2-Ethylhexyl diphenyl phosphate;CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1;"InChI=1/C20H27O4P/c1-3-5-12-18(4-2)17-22-25(21,23-19-13-8-6-9-14-19)24-20-15-10-7-11-16-20/h6-11,13-16,18H,3-5,12,17H2,1-2H3
";C20H27O4P;362.406;362.164696;1;138/546;546;25;Comptox similarity search to TPP;0.727272749
DTXSID4026216;Phosphoric acid, tris(3-methylphenyl) ester;563-04-2;RMLPZKRPSQVRAB-UHFFFAOYSA-N;Tris(3-methylphenyl) phosphate;CC1=CC=CC(OP(=O)(OC2=CC(C)=CC=C2)OC2=CC(C)=CC=C2)=C1;"InChI=1S/C21H21O4P/c1-16-7-4-10-19(13-16)23-26(22,24-20-11-5-8-17(2)14-20)25-21-12-6-9-18(3)15-21/h4-15H,1-3H3
";C21H21O4P;368.369;368.117746;1;28/306;306;9;Comptox similarity search to TPP;0.842105269
