Name;CAS number;SMILES
Diphenyl p-tolyl phosphate ;78-31-9;O=P(OC=1C=CC=CC1)(OC=2C=CC=CC2)OC3=CC=C(C=C3)C
(4-Isopropylphenyl) diphenyl phosphate ;55864-04-5;O=P(OC=1C=CC=CC1)(OC=2C=CC=CC2)OC3=CC=C(C=C3)C(C)C
4-Hydroxyphenyl diphenyl phosphate;56806-74-7;O=P(OC=1C=CC=CC1)(OC=2C=CC=CC2)OC3=CC=C(O)C=C3
tert-Butylphenyl diphenyl phosphate;56803-37-3;CC(C)(C)C1=CC=CC=C1OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3
Tri-p-cresyl phosphate ;78-32-0;CC1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C)OC3=CC=C(C=C3)C  
TRI-o-CRESYL PHOSPHATE ;78-30-8;CC1=CC=CC=C1OP(=O)(OC2=CC=CC=C2C)OC3=CC=CC=C3C  
Isodecyl diphenyl phosphate ;29761-21-5;CC(C)CCCCCCCOP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2  
Dibutyl phenyl phosphate ;2528-36-1;CCCCOP(=O)(OCCCC)OC1=CC=CC=C1  
2-Ethylhexyl diphenyl phosphate (EHDPP) ;1241-94-7;CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2  
Dibenzyl phosphate ;1623-08-1;C1=CC=C(C=C1)COP(=O)(O)OCC2=CC=CC=C2  
Tris(3-methoxyphenyl) phosphate ;(3862-09-7);COC1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)OC)OC3=CC=C(C=C3)OC  
Tris(4-nitrophenyl) phosphate ;3871-20-3; C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(OC2=CC=C(C=C2)[N+](=O)[O-])OC3=CC=C(C=C3)[N+](=O)[O-]  
Bis(4-nitrophenyl) phosphate ;645-15-8;C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-]  
Diethyl(p-nitrophenyl)phosphate ;311-45-5;CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]  
Tris(chloropropyl) phosphate;13674-84-5; CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl  
Tris(1,3-dichlorisopropyl)phosphate ;13674-87-8; C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl  
Tris(2-butoxyethyl) phosphate ;78-51-3;CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC  
Tris(2-chloroethyl) phosphate ;115-96-8;C(CCl)OP(=O)(OCCCl)OCCCl  
Tripropyl phosphate ;513-08-6;CCCOP(=O)(OCCC)OCCC  
Tributyl phosphate ;126-73-8;CCCCOP(=O)(OCCCC)OCCCC  
Dibutyl phosphate ;107-66-4;CCCCOP(=O)(O)OCCCC  
Bis(2-ethylhexyl)phosphate;298-07-7;CCCCC(CC)COP(=O)(O)OCC(CC)CCCC  
Tris(2-ethylhexyl)phosphate ;78-42-2;CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC  
Methylparaoxon;950-35-6;COP(=O)(OC)OC1=CC=C(C=C1)[N+](=O)[O-]  
Methyl 4-nitrophenyl phosphate;15930-83-3;COP(=O)(O)OC1=CC=C(C=C1)[N+](=O)[O-]  
4-Nitrophenyl Phosphate ;330-13-2;C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O  
Parathion;56-38-2;CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]  
Ethoprophos;13194-48-4;CCCSP(=O)(OCC)SCCC  
