Ester library;Compound chemical class;Log P (+/- SD);;Smiles code
1-Napthyl acetate;Aromatic ester (two rings);2.79;0.20;CC(=O)OC1=CC=CC2=CC=CC=C21
1-Naphthyl butyrate;Aromatic ester (two rings);3.85;0.20;CCCC(=O)OC1=CC=CC2=CC=CC=C21
Glyceryl triacetate;Triglyceride;-0.24;0.26;CC(=O)OCC(COC(=O)C)OC(=O)C 
Glyceryl tripropionate;Triglyceride;1.36;0.26; CCC(=O)OCC(COC(=O)CC)OC(=O)CC 
Glyceryl tributyrate;Triglyceride;2.95;0.26;CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
Glyceryl trioctanoate;Triglyceride;9.33;0.26;CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC 
Triolein;Triglyceride;23.71;0.28;CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC
Hexyl acetate;Alkyl ester;2.83;0.21;CCCCCCOC(=O)C
Octyl acetate;Alkyl ester;3.90;0.21;CCCCCCCCOC(=O)C
Dodecanoyl acetate;Alkyl ester;6.02;0.21;CCCCCCCCCCCCOC(=O)C
Pentadecyl acetate ;Alkyl ester;7.62;0.21;CCCCCCCCCCCCCCCOC(=O)C 
Ethyl acetate;Alkyl ester;0.71;0.20;CCOC(=O)C 
Ethyl propionate;Alkyl ester;1.24;0.21;CCC(=O)OCC 
Ethyl butyrate;Alkyl ester;1.77;0.21;CCCC(=O)OCC
Ethyl hexanoate;Alkyl ester;2.83;0.21;CCCCCC(=O)OCC
Ethyl octanoate;Alkyl ester;3.90;0.21;CCCCCCCC(=O)OCC
Ethyl decanoate;Alkyl ester;4.96;0.21;CCCCCCCCCC(=O)OCC 
Ethyl dodecanoate;Alkyl ester;6.02;0.21;CCCCCCCCCCCC(=O)OCC
Ethyl myristate;Alkyl ester;7.08;0.21;CCCCCCCCCCCCCC(=O)OCC 
Ethyl benzoate;Aromatic ester (one ring);2.73;0.20;CCOC(=O)C1=CC=CC=C1 
(1R)-(-)-Menthyl acetate;Aromatic ester (one ring - chiral);4.10;0.22;C[C@@H]1CCC(C(C1)OC(=O)C)C(C)C
(1S)-(+)-Menthyl acetate;Aromatic ester (one ring - chiral);4.10;0.22;C[C@H]1CCC(C(C1)OC(=O)C)C(C)C
N-Benzyl-L-proline ethyl ester;Aromatic ester (two rings - chiral);2.35;0.38;CCOC(=O)[C@@H]1CCCN1CC2=CC=CC=C2
N-Benzyl-D-proline ethyl ester;Aromatic ester (two rings - chiral);2.35;0.38;CCOC(=O)[C@H]1CCCN1CC2=CC=CC=C2
Methyl (R)-(-)-mandelate;Aromatic ester (one ring - chiral);0.90;0.27;COC(=O)[C@@H](C1=CC=CC=C1)O
Methyl (S)-(+)-mandelate;Aromatic ester (one ring - chiral);0.90;0.27;COC(=O)[C@H](C1=CC=CC=C1)O
Ethyl (R)-(+)-4-chloro-3-hydroxybutyrate [E(R)CHB];Alkyl ester (chiral hydroxy-halogenated);0.33;0.26;CCOC(=O)C[C@H](CCl)O
Ethyl (S)-(?)-4-chloro-3-hydroxybutyrate [E(S)CHB];Alkyl ester (chiral hydroxy-halogenated);0.33;0.26;CCOC(=O)C[C@@H](CCl)O
(+)-Ethyl D-Lactate;Alkyl ester (chiral hydroxylated);-0.19;0.25;CCOC(=O)[C@@H](C)O
(?)-Ethyl L-lactate;Alkyl ester (chiral hydroxylated);-0.19;0.25;CCOC(=O)[C@H](C)O
(+)-Methyl (S)-3-hydroxybutyrate;Alkyl ester (chiral hydroxylated);-0.55;0.23;C[C@@H](CC(=O)OC)O
Benzoic acid, 4-formyl-, phenylmethyl ester [BFPME];Aromatic ester (two rings);3.82;0.27;C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)C=O
(-)-Methyl (R)-3-hydroxybutyrate;Alkyl ester (chiral hydroxylated);-0.55;0.23;C[C@H](CC(=O)OC)O
(1R)-(+)-Neomenthyl acetate;Aryl ester (chiral);4.10;0.22;C[C@H]1CC[C@@H]([C@@H](C1)OC(=O)C)C(C)C
